lat,lon,municipio,estado,municipio_id,estado_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
-9.9518,-36.1753,CORURIPE,ALAGOAS,2702306,27,-999.0,4.93,0.73,Mata Atlântica,121.3
-15.2789,-43.7495,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.3,0.84,Cerrado,70.0
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,145.4
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.77,Amazônia,69.4
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,64.0
-9.9518,-36.1753,CORURIPE,ALAGOAS,2702306,27,-999.0,4.93,0.73,Mata Atlântica,148.8
-9.9319,-36.2059,JEQUIÁ DA PRAIA,ALAGOAS,2703759,27,0.0,4.65,0.8,Mata Atlântica,99.1
-9.9513,-36.2024,CORURIPE,ALAGOAS,2702306,27,-999.0,4.86,0.77,Mata Atlântica,289.9
-15.2789,-43.7495,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.3,0.84,Cerrado,78.1
-15.2992,-43.7214,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.2,0.87,Caatinga,83.9
-15.2986,-43.7455,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.2,1.0,Cerrado,101.7
-16.603399,-44.058498,CORAÇÃO DE JESUS,MINAS GERAIS,3118809,31,3.0,0.18,0.14,Cerrado,
-16.605301,-44.067902,CORAÇÃO DE JESUS,MINAS GERAIS,3118809,31,3.0,0.2,0.14,Cerrado,
-15.2909,-43.7369,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.23,1.0,Caatinga,
-15.2811,-43.739101,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.3,1.0,Caatinga,
-15.2793,-43.7304,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.26,1.0,Caatinga,
-15.2873,-43.719501,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.2,1.0,Caatinga,
-10.4428,-36.758499,JAPOATÃ,SERGIPE,2803401,28,2.0,0.19,1.0,Mata Atlântica,
-10.4452,-36.7686,JAPOATÃ,SERGIPE,2803401,28,2.0,0.2,1.0,Mata Atlântica,
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,135.9
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,79.9
-15.2986,-43.7455,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.2,1.0,Cerrado,96.5
-10.23401,-37.87823,CORONEL JOÃO SÁ,BAHIA,2909208,29,1.0,1.5,0.94,Caatinga,6.4
-10.44969,-36.77562,JAPOATÃ,SERGIPE,2803401,28,2.0,0.23,1.0,Mata Atlântica,50.7
-9.38918,-35.94242,ATALAIA,ALAGOAS,2700409,27,0.0,0.6,1.0,Mata Atlântica,8.3
-10.10461,-36.16129,CORURIPE,ALAGOAS,2702306,27,-999.0,3.63,1.0,Mata Atlântica,5.4
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,57.9
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.77,Amazônia,63.3
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,140.7
-15.2789,-43.7495,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.3,0.84,Cerrado,66.2
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.77,Amazônia,58.7
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,128.0
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,72.4
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,105.8
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.77,Amazônia,50.1
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,101.8
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,73.9
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.77,Amazônia,52.5
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,95.4
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,67.5
2.7821,-60.1246,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.77,Amazônia,64.5
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,52.4
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,137.6
1.632,-60.2148,CARACARAÍ,RORAIMA,1400209,14,1.0,0.35,0.45,Amazônia,50.5
2.7638,-60.1058,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.98,Amazônia,64.1
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,104.9
-15.2986,-43.7455,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.2,1.0,Cerrado,58.1
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,99.9
-15.343699,-43.764336,JAÍBA,MINAS GERAIS,3135050,31,1.0,0.15,1.0,Cerrado,
-15.341946,-43.754459,JAÍBA,MINAS GERAIS,3135050,31,1.0,0.11,1.0,Cerrado,
-15.2789,-43.7495,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.3,0.84,Cerrado,58.0
-15.2986,-43.7455,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.2,1.0,Cerrado,55.8
2.7821,-60.1055,BONFIM,RORAIMA,1400159,14,0.0,0.0,0.81,Amazônia,73.2
1.632,-60.2148,CARACARAÍ,RORAIMA,1400209,14,1.0,0.35,0.45,Amazônia,49.7
-15.2789,-43.7495,JAÍBA,MINAS GERAIS,3135050,31,2.0,0.3,0.84,Cerrado,58.3
2.05066,-61.81179,IRACEMA,RORAIMA,1400282,14,5.0,0.0,0.37,Amazônia,8.5
0.99092,-60.24255,SÃO LUIZ,RORAIMA,1400605,14,2.0,0.0,0.62,Amazônia,12.9
1.09475,-59.5025,CAROEBE,RORAIMA,1400233,14,0.0,2.41,0.06,Amazônia,9.1
1.63088,-60.21416,CARACARAÍ,RORAIMA,1400209,14,1.0,0.36,0.45,Amazônia,15.5
1.63212,-60.20531,CARACARAÍ,RORAIMA,1400209,14,2.0,0.4,0.45,Amazônia,11.8
2.05965,-61.81312,IRACEMA,RORAIMA,1400282,14,5.0,0.0,0.37,Amazônia,10.5
3.08116,-60.84816,BOA VISTA,RORAIMA,1400100,14,5.0,0.0,1.0,Amazônia,4.9
3.84935,-60.69101,PACARAIMA,RORAIMA,1400456,14,4.0,0.0,1.0,Amazônia,26.6
